from,to,dialogue,yarn_id
QUI-GON,MAOI MADAKOR,Captain.,870083
MAOI MADAKOR,QUI-GON,"Yes, sir?",870083
QUI-GON,MAOI MADAKOR,Tell them we wish to board at once.,870084
MAOI MADAKOR,NUTE,With all due respect.,870085
MAOI MADAKOR,NUTE,the ambassadors for the supreme chancellor wish to board immediately.,870086
NUTE,MAOI MADAKOR,"Yes, of course.",870087
NUTE,MAOI MADAKOR,"As you know, our blockade is perfectly legal.",870088
NUTE,MAOI MADAKOR,and we'd be happy to receive the ambassadors.,870089
TC-14,"QUI-GON, OBI-WAN",I'm TC-14 at your service.,870090
TC-14,"QUI-GON, OBI-WAN","This way, please.",870091
TC-14,"QUI-GON, OBI-WAN","We are greatly honoured by your visit, Ambassadors.",870092
TC-14,"QUI-GON, OBI-WAN",Make yourselves comfortable.,870093
TC-14,"QUI-GON, OBI-WAN",My master will be with you shortly.,870094
OBI-WAN,QUI-GON,I have a bad feeling about this.,870095
QUI-GON,OBI-WAN,I don't sense anything.,870096
OBI-WAN,QUI-GON,"It's not about the mission, Master.",870096
OBI-WAN,QUI-GON,"It's something elsewhere, elusive.",870097
QUI-GON,OBI-WAN,"Don't center on your anxieties, Obi-Wan.",870098
QUI-GON,OBI-WAN,"Keep your concentration here and now, where it belongs.",870099
OBI-WAN,QUI-GON,But Master Yoda said I should be mindful of the future.,870100
QUI-GON,OBI-WAN,But not at the expense of the moment.,870101
QUI-GON,OBI-WAN,"Be mindful of the living Force, young Padawan.",870102
OBI-WAN,QUI-GON,"Yes, Master.",870103
OBI-WAN,QUI-GON,How do you think this trade viceroy will deal with the chancellor's demands?,870104
QUI-GON,OBI-WAN,These Federation types are cowards.,870105
QUI-GON,OBI-WAN,The negotiations will be short.,870106
NUTE,TC-14,What?,870107
NUTE,TC-14,What did you say?,870107
TC-14,"NUTE, DAULTAY","The ambassadors are Jedi knights, I believe.",870108
DAULTAY,NUTE,I knew it.,870109
DAULTAY,NUTE,They're here to force a settlement.,870110
NUTE,DAULTAY,Distract them.,870111
NUTE,DAULTAY,I will contact Lord Sidious.,870111
DAULTAY,NUTE,Are you brain-dead?,870112
DAULTAY,NUTE,I'm not going in there with two Jedi.,870113
DAULTAY,"TC-14, NUTE",Send a droid.,870114
OBI-WAN,QUI-GON,Is it in their nature to make us wait this long?,870115
QUI-GON,OBI-WAN,No.,870116
QUI-GON,OBI-WAN,I sense an unusual amount of fear.,870116
QUI-GON,OBI-WAN,for something as trivial as this trade dispute.,870116
PALPATINE,"NUTE, DAULTAY",What is it?,870117
DAULTAY,PALPATINE,"This scheme of yours has failed, Lord Sidious.",870118
DAULTAY,PALPATINE,The blockade is finished.,870119
DAULTAY,PALPATINE,We dare not go against these Jedi.,870119
PALPATINE,"NUTE, DAULTAY","Viceroy, I don't want this stunted slime in my sight again.",870120
PALPATINE,NUTE,This turn of events is unfortunate.,870121
PALPATINE,NUTE,We must accelerate our plans.,870122
PALPATINE,NUTE,Begin landing your troops.,870122
NUTE,PALPATINE,"My lord, is that legal?",870123
PALPATINE,NUTE,I will make it legal.,870124
NUTE,PALPATINE,And the Jedi?,870125
PALPATINE,NUTE,The chancellor should never have brought them into this.,870126
PALPATINE,NUTE,Kill them immediately.,870126
NUTE,PALPATINE,"Yes, Yes, my lord.",870127
NUTE,PALPATINE,As you wish.,870127
ANTIDAR WILLIAMS,MAOI MADAKOR,"Captain, look!",870128
MAOI MADAKOR,ANTIDAR WILLIAMS,Shields.,870129
TC-14,"QUI-GON, OBI-WAN",Sorry.,870130
QUI-GON,OBI-WAN,Dioxis.,870131
NUTE,NA,They must be dead by now.,870132
NUTE,NA,Destroy what's left of them.,870133
TC-14,NA,Oh!,870134
TC-14,NA,Excuse me.,870134
BATTLE DROID,NA,"Check it out, Corporal.",870135
BATTLE DROID,NA,We'll cover you.,870135
BATTLE DROID 2,NA,"Roger, roger.",870135
BATTLE DROID,NA,Uh-oh.,870136
BATTLE DROID,NA,Blast them.,870136
NUTE,TEY HOW,What is going on down there?,870137
TEY HOW,NUTE,"We lost the transmission, sir.",870138
RUNE,NUTE,"Have you ever encountered a Jedi knight before, sir?",870139
NUTE,RUNE,"Well, no, but I don't.",870140
NUTE,TEY HOW,Seal off the bridge.,870140
TEY HOW,NUTE,"Yes, sir.",870141
RUNE,NUTE,"That won't be enough, sir.",870141
NUTE,TEY HOW,I want droidekas,870142
NUTE,TEY HOW,up here at once!,870142
RUNE,NUTE,We will not survive this.,870143
NUTE,TEY HOW,Close the blast doors!,870144
NUTE,NA,That will hold them.,870145
RUNE,NUTE,They are still coming through.,870146
NUTE,RUNE,This is impossible!,870147
RUNE,NUTE,Where are those droidekas?,870148
OBI-WAN,QUI-GON,Master!,870149
OBI-WAN,QUI-GON,Destroyers!,870149
OBI-WAN,QUI-GON,They have shield generators!,870150
QUI-GON,OBI-WAN,It's a standoff.,870151
QUI-GON,OBI-WAN,Let's go.,870151
RUNE,NUTE,They're no match for droidekas.,870152
TEY HOW,NUTE,Sir!,870153
TEY HOW,NUTE,They've gone up the ventilation shaft.,870153
QUI-GON,OBI-WAN,Battle droids.,870154
OBI-WAN,QUI-GON,It's an invasion army.,870154
QUI-GON,OBI-WAN,This is an odd play for the Trade Federation.,870155
QUI-GON,OBI-WAN,We've got to warn the Naboo and contact Chancellor Valorum.,870156
QUI-GON,OBI-WAN,Let's split up.,870157
QUI-GON,OBI-WAN,Stow aboard separate ships and meet down on the planet.,870157
OBI-WAN,QUI-GON,"You were right about one thing, Master.",870158
OBI-WAN,QUI-GON,The negotiations were short.,870159
TEY HOW,NUTE,"Sir, a transmission from the planet.",870160
RUNE,NUTE,It's Queen Amidala herself.,870161
NUTE,RUNE,At last we are getting results.,870162
NUTE,PADME,"Again you come before us, Your Highness.",870163
PADME,NUTE,"You will not be so pleased when you hear what I have to say, Viceroy.",870164
PADME,NUTE,Your trade boycott of our planet has ended.,870165
NUTE,PADME,I was not aware of such failure.,870166
PADME,NUTE,I have word that the chancellor's ambassadors are with you now.,870167
PADME,NUTE,and that you have been commanded to reach settlement.,870168
NUTE,PADME,I know nothing of any ambassadors.,870169
NUTE,PADME,You must be mistaken.,870170
PADME,NUTE,"Beware, Viceroy.",870171
PADME,NUTE,The Federation has gone too far this time.,870172
NUTE,PADME,We would never do anything without the approval of the senate.,870173
NUTE,PADME,You assume too much.,870174
PADME,NUTE,We will see.,870175
RUNE,NUTE,She's right.,870176
RUNE,NUTE,The senate will never.,870176
NUTE,RUNE,It's too late now.,870176
RUNE,NUTE,Do you think she suspects an attack?,870177
NUTE,RUNE,I don't know.,870177
NUTE,RUNE,But we must move quickly to disrupt all communications down there.,870178
PALPATINE,NA,Negotiations haven't started because the ambassadors aren't there?,870179
PALPATINE,NA,How could that be true?,870180
PALPATINE,NA,I have assurances from the chancellor his ambassadors did arrive.,870181
[DISTORTED VOICE],NA,It must.,870182
[DISTORTED VOICE],NA,handiwork.,870182
[DISTORTED VOICE],NA,negotiate.,870182
[DISTORTED VOICE],NA,ambassadors.,870182
[DISTORTED VOICE],NA,- nobody would.,870183
PADME,PALPATINE,Senator Palpatine.,870183
PADME,PALPATINE,What's happening?,870184
CAPT. PANAKA,PALPATINE,Check the transmission generator.,870185
BIBBLE,PADME,A communications disruption can mean only one thing: Invasion.,870186
PADME,BIBBLE,The Federation would not dare go that far.,870187
CAPT. PANAKA,"PADME, BIBBLE","The senate would revoke their trade franchise, and they'd be finished.",870188
PADME,BIBBLE,We must continue to rely on negotiation.,870189
BIBBLE,PADME,Negotiation?,870190
BIBBLE,PADME,We've lost all communications.,870190
BIBBLE,NA,And where are the chancellor's ambassadors?,870191
CAPT. PANAKA,PADME,"This is a dangerous situation, Your Highness.",870192
CAPT. PANAKA,PADME,Our security volunteers will be no match.,870193
CAPT. PANAKA,PADME,against a battle-hardened Federation army.,870193
PADME,CAPT. PANAKA,I will not condone a course of action that will lead us to war.,870194
OOM-9,"RUNE, NUTE","Yes, Viceroy?",870195
RUNE,OOM-9,"Captain, we've searched the ship.",870195
RUNE,OOM-9,and there is no trace of the Jedi.,870196
RUNE,OOM-9,They may have gotten on one of your landing craft.,870197
OOM-9,"RUNE, NUTE","If they're down here, sir, we'll fnd them.",870198
NUTE,OOM-9,Use caution.,870199
NUTE,OOM-9,These Jedi are not to be underestimated.,870199
JAR JAR,QUI-GON,"Oh, no!",870200
QUI-GON,JAR JAR,Get away!,870200
QUI-GON,JAR JAR,Get out of here!,870200
QUI-GON,JAR JAR,Get down!,870201
JAR JAR,QUI-GON,Was'n dat?,870201
JAR JAR,QUI-GON,"Hey, wait!",870203
JAR JAR,QUI-GON,"Oh, mooie-mooie, I love you.",870204
QUI-GON,JAR JAR,You almost got us killed.,870205
QUI-GON,JAR JAR,Are you brainless?,870205
JAR JAR,QUI-GON,I spake.,870206
QUI-GON,JAR JAR,The ability to speak does not make you intelligent.,870206
QUI-GON,JAR JAR,"Now, get out of here.",870207
JAR JAR,QUI-GON,"No, no, mesa stay.",870207
JAR JAR,QUI-GON,Mesa culled Jar Jar Binks.,870208
JAR JAR,QUI-GON,Mesa your humble servant.,870208
QUI-GON,JAR JAR,That won't be necessary.,870209
JAR JAR,QUI-GON,"Oh, but it 'tis.",870209
JAR JAR,QUI-GON,"Tis demanded by the gods, it 'tis.",870210
JAR JAR,QUI-GON,"Oh, no!",870211
QUI-GON,JAR JAR,Stay down!,870211
JAR JAR,QUI-GON,You saved my again.,870212
OBI-WAN,QUI-GON,What's this?,870213
QUI-GON,OBI-WAN,A local.,870213
QUI-GON,OBI-WAN,Let's get out of here before more droids show up.,870214
JAR JAR,QUI-GON,More?,870214
JAR JAR,QUI-GON,More did you spake?,870215
JAR JAR,"QUI-GON, OBI-WAN","Ex-squeeze-me, but de mostest safest place would be Gunga City.",870216
JAR JAR,"QUI-GON, OBI-WAN",Is where I grew up.,870217
JAR JAR,"QUI-GON, OBI-WAN",Tis a hidden city.,870217
QUI-GON,JAR JAR,A city?,870218
JAR JAR,QUI-GON,Uh-huh.,870218
QUI-GON,JAR JAR,Can you take us there?,870219
JAR JAR,QUI-GON,"On second thought, no.",870219
JAR JAR,QUI-GON,"Not really, no.",870220
QUI-GON,JAR JAR,No?,870220
JAR JAR,"QUI-GON, OBI-WAN",Tis embarrassing.,870221
JAR JAR,"QUI-GON, OBI-WAN",but my afraid my've been banished.,870222
JAR JAR,"QUI-GON, OBI-WAN",My forgotten.,870223
JAR JAR,"QUI-GON, OBI-WAN",Da bosses would do terrible tings to me.,870223
JAR JAR,"QUI-GON, OBI-WAN",Terrible tings to me if me goen back dare.,870224
QUI-GON,JAR JAR,You hear that?,870225
JAR JAR,QUI-GON,Yah.,870225
QUI-GON,JAR JAR,That is the sound of a thousand terrible things heading this way.,870226
OBI-WAN,JAR JAR,"If they find us, they will crush us.",870227
OBI-WAN,JAR JAR,grind us into tiny pieces and blast us into oblivion.,870228
JAR JAR,OBI-WAN,Oh.,870229
JAR JAR,OBI-WAN,Yousa point is well seen.,870229
JAR JAR,"OBI-WAN, QUI-GON",Dis way.,870230
JAR JAR,"OBI-WAN, QUI-GON",Hurry!,870230
QUI-GON,JAR JAR,How much further?,870231
JAR JAR,"OBI-WAN, QUI-GON","Wesa goen underwater, okeyday?",870231
JAR JAR,"OBI-WAN, QUI-GON","Ah, my warning you.",870232
JAR JAR,"OBI-WAN, QUI-GON","Gungans no liken outsiders, so don't spect a warm welcome.",870233
OBI-WAN,JAR JAR,Don't worry.,870234
OBI-WAN,JAR JAR,This hasn't been our day for warm welcomes.,870234
JAR JAR,"OBI-WAN, QUI-GON","Yousa follow me now, okeyday?",870236
JAR JAR,"OBI-WAN, QUI-GON",So good bein home!,870237
CAPT. TARPALS,"JAR JAR, OBI-WAN, QUI-GON","Hey, yousa.",870239
CAPT. TARPALS,"JAR JAR, OBI-WAN, QUI-GON",Stopa dare.,870240
JAR JAR,CAPT. TARPALS,"Heyo-dales, Cap'n Tarpals.",870240
JAR JAR,CAPT. TARPALS,Mesa back.,870241
CAPT. TARPALS,JAR JAR,"Noah gain, Jar Jar.",870242
CAPT. TARPALS,JAR JAR,Yousa goen tada bosses.,870242
CAPT. TARPALS,JAR JAR,Yousa in big dudu dis time.,870243
JAR JAR,JAR JAR,How wude.,870246
BOSS NASS,"OBI-WAN, QUI-GON",Yousa cannot bees hair.,870246
BOSS NASS,"OBI-WAN, QUI-GON",Dis army of Mackineeks up dare is new weesong.,870246
QUI-GON,BOSS NASS,A droid army is about to attack the Naboo.,870249
QUI-GON,BOSS NASS,We must warn them.,870249
BOSS NASS,"OBI-WAN, QUI-GON",Wesa no like da Naboo.,870250
BOSS NASS,"OBI-WAN, QUI-GON",Da Naboo tink day so smarty.,870251
BOSS NASS,"OBI-WAN, QUI-GON",Day tink day brains so big.,870252
OBI-WAN,BOSS NASS,"Once those droids take control of the surface, they will take control of you.",870253
BOSS NASS,"OBI-WAN, QUI-GON",Mesa no tink so.,870254
BOSS NASS,"OBI-WAN, QUI-GON",Day not know of uss-en.,870255
OBI-WAN,BOSS NASS,You and the Naboo form a symbiont circle.,870256
OBI-WAN,BOSS NASS,What happens to one of you will affect the other.,870257
OBI-WAN,BOSS NASS,You must understand this.,870257
BOSS NASS,"OBI-WAN, QUI-GON",Wesa no carrrre-nn about da Naboo.,870258
QUI-GON,BOSS NASS,Then speed us on our way.,870259
BOSS NASS,"OBI-WAN, QUI-GON",Wesa ganna speed yous away.,870260
QUI-GON,BOSS NASS,We could use a transport.,870261
BOSS NASS,"OBI-WAN, QUI-GON",Wesa give yousa una bongo.,870262
BOSS NASS,"OBI-WAN, QUI-GON",Da speediest way tooda Naboo.,870262
BOSS NASS,"OBI-WAN, QUI-GON",tis goen through the planet core.,870262
BOSS NASS,"OBI-WAN, QUI-GON",Now.,870262
BOSS NASS,"OBI-WAN, QUI-GON",go.,870262
QUI-GON,BOSS NASS,Thank you for your help.,870262
QUI-GON,BOSS NASS,We leave in peace.,870262
OBI-WAN,QUI-GON,"Master, what's a bongo?",870268
QUI-GON,OBI-WAN,"A transport, I hope.",870269
JAR JAR,"OBI-WAN, QUI-GON",Deysa setten yousa up.,870270
JAR JAR,"OBI-WAN, QUI-GON",Goen through da planet core?,870271
JAR JAR,"OBI-WAN, QUI-GON",Bad bombin'.,870271
JAR JAR,"OBI-WAN, QUI-GON",Any help here would be hot.,870272
OBI-WAN,QUI-GON,"Master, we're short on time.",870273
QUI-GON,OBI-WAN,We'll need a navigator to get us through the planet's core.,870274
QUI-GON,OBI-WAN,This Gungan may be of help.,870275
QUI-GON,BOSS NASS,What is to become of Jar Jar Binks here?,870276
BOSS NASS,QUI-GON,Hisen to be pune-ished.,870277
QUI-GON,BOSS NASS,I saved his life.,870278
QUI-GON,BOSS NASS,"He owes me what you call a ""life-debt.",870279
QUI-GON,BOSS NASS,""" Your gods demand that his life belongs to me now.",870280
BOSS NASS,JAR JAR,Binks.,870281
BOSS NASS,JAR JAR,yousa havena liveplay with thisen hisen?,870282
JAR JAR,BOSS NASS,MM HMM
BOSS NASS,BOSS NASS,Begone wit him!,870282
JAR JAR,BOSS NASS,Count me outta dis one.,870285
JAR JAR,BOSS NASS,Better dead here than dead in da core.,870286
JAR JAR,JAR JAR,Yee gods!,870287
JAR JAR,JAR JAR,What mesa sayin?,870287
JAR JAR,"OBI-WAN, QUI-GON",Dis is nutsen.,870288
JAR JAR,JAR JAR,"Oh, gooberfish!",870288
OBI-WAN,JAR JAR,"Why were you banished, Jar Jar?",870289
JAR JAR,"OBI-WAN, QUI-GON",It's a longo tale-o.,870289
JAR JAR,"OBI-WAN, QUI-GON",buta a small part of it would be mesa.,870290
JAR JAR,"OBI-WAN, QUI-GON",clumsy.,870290
OBI-WAN,JAR JAR,You were banished for being clumsy?,870290
JAR JAR,"OBI-WAN, QUI-GON",Yousa might'n be sayin dat.,870291
JAR JAR,"OBI-WAN, QUI-GON","Mesa caused mabee one two-y lettle bitty axadentes, huh?",870292
JAR JAR,"OBI-WAN, QUI-GON",Yud-say boom da gasser.,870293
JAR JAR,"OBI-WAN, QUI-GON","den crashin der boss's heyblibber, den banished.",870294
JAR JAR,"JAR JAR, OBI-WAN, QUI-GON",Uh oh!,870295
JAR JAR,"JAR JAR, OBI-WAN, QUI-GON",Big gooberfish!,870296
JAR JAR,"JAR JAR, OBI-WAN, QUI-GON",Huge-o teeth!,870296
QUI-GON,"JAR JAR, OBI-WAN",There's always a bigger fish.,870297
JAR JAR,OBI-WAN,Mesa tink we goen back now.,870297
NUTE,PALPATINE,"The invasion is on schedule, my lord.",870298
PALPATINE,NUTE,I have the senate bogged down in procedures.,870299
PALPATINE,NUTE,They will have no choice but to accept your control of the system.,870300
NUTE,PALPATINE,The queen has great faith that the senate will side with her.,870301
PALPATINE,NUTE,Queen Amidala is young and naive.,870302
PALPATINE,NUTE,You will find controlling her will not be difficult.,870303
NUTE,PALPATINE,"Yes, my lord.",870304
RUNE,NUTE,You didn't tell him about the missing Jedi.,870305
NUTE,RUNE,No need to report that to him until we have something to report.,870306
JAR JAR,"OBI-WAN, QUI-GON",Where wesa goin?,870307
QUI-GON,JAR JAR,Don't worry.,870307
QUI-GON,JAR JAR,The Force will guide us.,870307
JAR JAR,QUI-GON,"Oh, maxi big, da Force.",870308
JAR JAR,QUI-GON,"Well, dat smells stinkowiff.",870309
OBI-WAN,QUI-GON,We're losing power.,870310
JAR JAR,JAR JAR,"Oh, no!",870311
JAR JAR,"QUI-GON, OBI-WAN",Wesa dyin' here.,870312
QUI-GON,JAR JAR,Just relax.,870313
QUI-GON,JAR JAR,We're not in trouble yet.,870313
JAR JAR,QUI-GON,"What ""yet""?",870313
JAR JAR,QUI-GON,Monsters out dare.,870314
JAR JAR,QUI-GON,Leak'n in here.,870314
JAR JAR,QUI-GON,All sink'n and no power?,870315
JAR JAR,QUI-GON,Whena yousa tinkin wesa in trouble?,870315
OBI-WAN,QUI-GON,Power's back.,870316
JAR JAR,"QUI-GON, OBI-WAN",Monster's back!,870316
QUI-GON,JAR JAR,Relax.,870316
OBI-WAN,QUI-GON,You overdid it.,870316
JAR JAR,JAR JAR,Horrible.,870320
QUI-GON,OBI-WAN,Head for that outcropping.,870320
JAR JAR,JAR JAR,"Oh, boy.",870321
OOM-9,NUTE,"Viceroy, we have captured the queen.",870322
NUTE,RUNE,"Ah, victory.",870323
JAR JAR,"OBI-WAN, QUI-GON",Dis'n loverly.,870324
BIBBLE,NUTE,How will you explain this invasion to the senate?,870325
NUTE,BIBBLE,The queen and I will sign a treaty that will legitimize our occupation here.,870326
NUTE,BIBBLE,I have assurances it will be ratifed by the senate.,870327
SABE,NUTE,I will not cooperate.,870328
NUTE,SABE,"Now, now, Your Highness.",870328
NUTE,SABE,"In time, your people's suffering will persuade you to see our point of view.",870329
NUTE,BATTLE DROID COMMANDER,Commander.,870330
BATTLE DROID COMMANDER,NUTE,"Yes, sir.",870330
NUTE,NUTE,Process them.,870331
BATTLE DROID COMMANDER,NUTE,"Captain, take them to Camp 4.",870331
BATTLE DROID CAPTAIN,NUTE,"Roger, roger.",870332
JAR JAR,JAR JAR,Whoops,870333
QUI-GON,SABE,"We should leave the street, Your Highness.",870335
CAPT. PANAKA,SABE,Get their weapons.,870335
JAR JAR,SABE,Yousa guys bombad!,870336
QUI-GON,"BIBBLE, SABE, CAPT. PANAKA",We're ambassadors for the supreme chancellor.,870337
BIBBLE,QUI-GON,"Your negotiations seemed to have failed, Ambassador.",870338
QUI-GON,"BIBBLE, CAPT. PANAKA, SABE",The negotiations never took place.,870339
QUI-GON,"BIBBLE, CAPT. PANAKA, SABE",It's urgent that we make contact with the Republic.,870340
CAPT. PANAKA,QUI-GON,They've knocked out all our communications.,870341
QUI-GON,CAPT. PANAKA,Do you have transports?,870341
CAPT. PANAKA,QUI-GON,In the main hangar.,870342
CAPT. PANAKA,QUI-GON,This way.,870342
CAPT. PANAKA,QUI-GON,There are too many of them.,870343
QUI-GON,SABE,That won't be a problem.,870343
QUI-GON,SABE,"Your Highness, under the circumstances, I suggest you come to Coruscant with us.",870344
SABE,QUI-GON,"Thank you, Ambassador, but my place is with my people.",870345
QUI-GON,SABE,They will kill you if you stay.,870346
BIBBLE,QUI-GON,They wouldn't dare.,870346
CAPT. PANAKA,QUI-GON,They need her to sign a treaty to make this invasion legal.,870347
CAPT. PANAKA,QUI-GON,They can't afford to kill her.,870347
QUI-GON,SABE,"There is something else behind all this, Your Highness.",870348
QUI-GON,SABE,There's no logic in the Federation's move here.,870349
QUI-GON,SABE,My feelings tell me they will destroy you.,870350
BIBBLE,SABE,Our only hope is for the senate to side with us.,870351
BIBBLE,SABE,Senator Palpatine will need your help.,870352
SABE,"BIBBLE, PADME, CAPT. PANAKA, QUI-GON",Either choice presents great danger.,870353
SABE,"BIBBLE, PADME, CAPT. PANAKA, QUI-GON",to us all.,870353
PADME,SABE,"We are brave, Your Highness.",870354
QUI-GON,SABE,"If you are to leave, Your Highness, it must be now.",870355
SABE,QUI-GON,Then I will plead our case to the senate.,870356
SABE,BIBBLE,"Be careful, Governor.",870357
CAPT. PANAKA,"OBI-WAN, QUI-GON",We'll need to free those pilots.,870358
OBI-WAN,CAPT. PANAKA,I'll deal with that.,870359
BATTLE DROID,QUI-GON,Halt.,870360
QUI-GON,BATTLE DROID,I'm ambassador to the supreme chancellor.,870360
QUI-GON,BATTLE DROID,I'm taking these people to Coruscant.,870361
BATTLE DROID,QUI-GON,Where are you taking them?,870362
QUI-GON,BATTLE DROID,To Coruscant.,870362
BATTLE DROID,QUI-GON,Coruscant?,870363
BATTLE DROID,QUI-GON,"Uh, that doesn't compute.",870363
BATTLE DROID,QUI-GON,"Uh, wait.",870364
BATTLE DROID,QUI-GON,"Uh, you're under arrest.",870364
QUI-GON,NA,Come on.,870365
QUI-GON,NA,Move!,870365
OBI-WAN,NA,Go!,870366
OBI-WAN,JAR JAR,"Now, stay here and keep out of trouble.",870367
JAR JAR,R2D2,"Hello, boyos.",870368
RIC OLIE,"OBI-WAN, QUI-GON",There's the blockade.,870369
RIC OLIE,"OBI-WAN, QUI-GON",The shield generator's been hit!,870370
JAR JAR,R2D2,How wude!,870371
OBI-WAN,"RIC OLIE, CAPT. PANAKA, QUI-GON",We're losing droids fast.,870372
CAPT. PANAKA,"RIC OLIE, QUI-GON, OBI-WAN","If we can't get the shield generator fxed, we'll be sitting ducks.",870373
RIC OLIE,"CAPT. PANAKA, OBI-WAN, QUI-GON",The shields are gone.,870374
RIC OLIE,"CAPT. PANAKA, OBI-WAN, QUI-GON",The power's back!,870375
RIC OLIE,"CAPT. PANAKA, OBI-WAN, QUI-GON",That little droid did it.,870376
RIC OLIE,"CAPT. PANAKA, OBI-WAN, QUI-GON",He bypassed the main power drive.,870376
RIC OLIE,"CAPT. PANAKA, OBI-WAN, QUI-GON",Deflector shields up at maximum.,870377
RIC OLIE,"CAPT. PANAKA, OBI-WAN, QUI-GON",There's not enough power to get us to Coruscant.,870378
RIC OLIE,"CAPT. PANAKA, OBI-WAN, QUI-GON",The hyperdrive is leaking.,870378
QUI-GON,RIC OLIE,We'll have to land somewhere to refuel and repair the ship.,870379
OBI-WAN,QUI-GON,"Here, Master.",870380
OBI-WAN,QUI-GON,Tatooine.,870380
OBI-WAN,QUI-GON,"It's small, out of the way, poor.",870381
OBI-WAN,QUI-GON,The Trade Federation have no presence there.,870381
CAPT. PANAKA,"QUI-GON, OBI-WAN",How can you be sure?,870382
QUI-GON,CAPT. PANAKA,It's controlled by the Hutts.,870383
CAPT. PANAKA,"QUI-GON, OBI-WAN",You can't take Her Royal Highness there.,870384
CAPT. PANAKA,"QUI-GON, OBI-WAN",The Hutts are gangsters.,870384
CAPT. PANAKA,"QUI-GON, OBI-WAN",If they discovered her.,870385
QUI-GON,CAPT. PANAKA,It'd be no different than if we landed on a system controlled by the Federation.,870386
QUI-GON,CAPT. PANAKA,except that the Hutts aren't looking for her.,870387
QUI-GON,CAPT. PANAKA,which gives us the advantage.,870387
PALPATINE,NUTE,"And Queen Amidala, has she signed the treaty?",870388
NUTE,PALPATINE,"She has disappeared, my lord.",870389
NUTE,PALPATINE,One Naboo cruiser got past the blockade.,870390
PALPATINE,NUTE,I want that treaty signed.,870391
NUTE,PALPATINE,My lord.,870392
NUTE,PALPATINE,it's impossible to locate the ship.,870393
NUTE,PALPATINE,It's out of our range.,870394
PALPATINE,NUTE,Not for a Sith.,870395
PALPATINE,NUTE,This is my apprentice.,870396
PALPATINE,NUTE,Darth Maul.,870397
PALPATINE,NUTE,He will find your lost ship.,870398
NUTE,RUNE,This is getting out of hand.,870399
NUTE,RUNE,Now there are two of them.,870400
RUNE,NUTE,We should not have made this bargain.,870401
CAPT. PANAKA,SABE,"An extremely well-put-together little droid, Your Highness.",870402
CAPT. PANAKA,SABE,"Without a doubt, it saved the ship, as well as our lives.",870403
SABE,CAPT. PANAKA,It is to be commended.,870404
SABE,CAPT. PANAKA,What is its number?,870404
CAPT. PANAKA,SABE,"R2D2, Your Highness.",870405
SABE,R2D2,"Thank you,R2D2.",870406
SABE,PADME,Padme.,870407
SABE,PADME,Clean this droid up as best you can.,870408
SABE,PADME,It deserves our gratitude.,870409
SABE,CAPT. PANAKA,"Continue, Captain.",870410
QUI-GON,SABE,"Your Highness, with your permission.",870411
QUI-GON,SABE,we're heading for a remote planet called Tatooine.,870412
