speaker,addressed,lineorder,combinedline,numberofrows,wordcount,mode,yarn_id
QUI-GON,MAOI MADAKOR,0,Captain.,1,1,870083
MAOI MADAKOR,QUI-GON,1,"Yes, sir?",1,2,870083
QUI-GON,MAOI MADAKOR,2,Tell them we wish to board at once.,2,8,870084
MAOI MADAKOR,NUTE,3,With all due respect...,1,4,870085
MAOI MADAKOR,NUTE,4,the ambassadors for the supreme chancellor wish to board immediately. ,1,5,870086
NUTE,MAOI MADAKOR,5,"Yes, of course. As you know, our blockade is perfectly legal...",4,16,870087;870088
NUTE,MAOI MADAKOR,6,and we'd be happy to receive the ambassadors.,2,8,870089
TC-14,"QUI-GON, OBI-WAN",7,"I'm TC-14 at your service. This way, please. We are greatly honoured by your visit, Ambassadors. Make yourselves comfortable. My master will be with you shortly.",7,26,
OBI-WAN,QUI-GON,8,I have a bad feeling about this.,1,7,
QUI-GON,OBI-WAN,9,I don't sense anything.,1,4,
OBI-WAN,QUI-GON,10,"It's not about the mission, Master. It's something elsewhere, elusive.",2,10,
QUI-GON,OBI-WAN,11,"Don't center on your anxieties, Obi-Wan. Keep your concentration here and now, where it belongs.",4,15,
OBI-WAN,QUI-GON,12,But Master Yoda said I should be mindful of the future.,2,11,
QUI-GON,OBI-WAN,13,"But not at the expense of the moment. Be mindful of the living Force, young Padawan.",4,16,
OBI-WAN,QUI-GON,14,"Yes, Master. How do you think this trade viceroy will deal with the chancellor's demands?",3,15,
QUI-GON,OBI-WAN,15,These Federation types are cowards. The negotiations will be short.,2,10,
NUTE,TC-14,16,What? What did you say?,1,5,
TC-14,"NUTE, DAULTAY",17,"The ambassadors are Jedi knights, I believe.",2,7,
DAULTAY,NUTE,18,I knew it. They're here to force a settlement.,2,9,
NUTE,DAULTAY,19,Distract them. I will contact Lord Sidious.,2,7,
DAULTAY,NUTE,20,Are you brain-dead? I'm not going in there with two Jedi.,3,11,
DAULTAY,"TC-14, NUTE",21,Send a droid.,1,3,
OBI-WAN,QUI-GON,22,Is it in their nature to make us wait this long?,2,11,
QUI-GON,OBI-WAN,23,No. I sense an unusual amount of fear... for something as trivial as this trade dispute.,4,16,
PALPATINE,"NUTE, DAULTAY",24,What is it?,1,3,
DAULTAY,PALPATINE,25,"This scheme of yours has failed, Lord Sidious. The blockade is finished. We dare not go against these Jedi.",4,19,
PALPATINE,"NUTE, DAULTAY",26,"Viceroy, I don't want this stunted slime in my sight again.",2,11,
PALPATINE,NUTE,27,This turn of events is unfortunate. We must accelerate our plans. Begin landing your troops.,3,15,
NUTE,PALPATINE,28,"My lord, is that legal?",1,5,
PALPATINE,NUTE,29,I will make it legal.,1,5,
NUTE,PALPATINE,30,And the Jedi?,1,3,
PALPATINE,NUTE,31,The chancellor should never have brought them into this. Kill them immediately.,3,12,
NUTE,PALPATINE,32,"Yes, Yes, my lord. As you wish.",2,7,
ANTIDAR WILLIAMS,MAOI MADAKOR,33,"Captain, look!",1,2,
MAOI MADAKOR,ANTIDAR WILLIAMS,34,Shields...,1,1,
TC-14,"QUI-GON, OBI-WAN",35,Sorry.,1,1,
QUI-GON,OBI-WAN,36,Dioxis.,1,1,
NUTE,NA,37,They must be dead by now. Destroy what's left of them.,2,11,
TC-14,NA,38,Oh! Excuse me.,1,3,
BATTLE DROID,NA,39,"Check it out, Corporal. We'll cover you.",1,7,
BATTLE DROID 2,NA,40,"Roger, roger.",1,2,
BATTLE DROID,NA,41,Uh-oh. Blast them.,1,3,
NUTE,TEY HOW,42,What is going on down there?,1,6,
TEY HOW,NUTE,43,"We lost the transmission, sir.",1,5,
RUNE,NUTE,44,"Have you ever encountered a Jedi knight before, sir?",2,9,
NUTE,RUNE,45,"Well, no, but I don't...",1,5,
NUTE,TEY HOW,46,Seal off the bridge.,1,4,
TEY HOW,NUTE,47,"Yes, sir.",1,2,
RUNE,NUTE,48,"That won't be enough, sir.",1,5,
NUTE,TEY HOW,49,I want droidekas,1,3,
NUTE,TEY HOW,50,up here at once!,1,4,
RUNE,NUTE,51,We will not survive this.,1,5,
NUTE,TEY HOW,52,Close the blast doors!,1,4,
NUTE,NA,53,That will hold them.,1,4,
RUNE,NUTE,54,They are still coming through.,1,5,
NUTE,RUNE,55,This is impossible!,1,3,
RUNE,NUTE,56,Where are those droidekas?,1,4,
OBI-WAN,QUI-GON,57,Master! Destroyers! They have shield generators!,2,6,
QUI-GON,OBI-WAN,58,It's a standoff. Let's go.,2,5,
RUNE,NUTE,59,They're no match for droidekas.,1,5,
TEY HOW,NUTE,60,Sir! They've gone up the ventilation shaft.,3,7,
QUI-GON,OBI-WAN,61,Battle droids.,1,2,
OBI-WAN,QUI-GON,62,It's an invasion army.,1,4,
QUI-GON,OBI-WAN,63,This is an odd play for the Trade Federation. We've got to warn the Naboo and contact Chancellor Valorum. Let's split up. Stow aboard separate ships and meet down on the planet.,7,32,
OBI-WAN,QUI-GON,64,"You were right about one thing, Master. The negotiations were short.",3,11,
TEY HOW,NUTE,65,"Sir, a transmission from the planet.",2,6,
RUNE,NUTE,66,It's Queen Amidala herself.,1,4,
NUTE,RUNE,67,At last we are getting results.,1,6,
NUTE,PADME,68,"Again you come before us, Your Highness.",2,7,
PADME,NUTE,69,"You will not be so pleased when you hear what I have to say, Viceroy. Your trade boycott of our planet has ended.",4,23,
NUTE,PADME,70,I was not aware of such failure.,1,7,
PADME,NUTE,71,I have word that the chancellor's ambassadors are with you now... and that you have been commanded to reach settlement.,4,20,
NUTE,PADME,72,I know nothing of any ambassadors. You must be mistaken.,3,10,
PADME,NUTE,73,"Beware, Viceroy. The Federation has gone too far this time.",3,10,
NUTE,PADME,74,We would never do anything without the approval of the senate. You assume too much.,3,15,
PADME,NUTE,75,We will see.,1,3,
RUNE,NUTE,76,She's right. The senate will never...,1,6,
NUTE,RUNE,77,It's too late now.,1,4,
RUNE,NUTE,78,Do you think she suspects an attack?,1,7,
NUTE,RUNE,79,I don't know. But we must move quickly to disrupt all communications down there.,3,14,
PALPATINE,NA,80,Negotiations haven't started because the ambassadors aren't there? How could that be true? I have assurances from the chancellor his ambassadors did arrive.,5,23,
[DISTORTED VOICE],NA,81,It must... handiwork... negotiate... ambassadors... - nobody would...,3,8,
PADME,PALPATINE,82,Senator Palpatine. What's happening?,2,4,
CAPT. PANAKA,PALPATINE,83,Check the transmission generator.,1,4,
BIBBLE,PADME,84,A communications disruption can mean only one thing: Invasion.,2,9,
PADME,BIBBLE,85,The Federation would not dare go that far.,2,8,
CAPT. PANAKA,"PADME, BIBBLE",86,"The senate would revoke their trade franchise, and they'd be finished.",2,11,
PADME,BIBBLE,87,We must continue to rely on negotiation.,2,7,
BIBBLE,PADME,88,Negotiation? We've lost all communications.,2,5,
BIBBLE,NA,89,And where are the chancellor's ambassadors?,2,6,
CAPT. PANAKA,PADME,90,"This is a dangerous situation, Your Highness. Our security volunteers will be no match... against a battle-hardened Federation army.",6,19,
PADME,CAPT. PANAKA,91,I will not condone a course of action that will lead us to war.,2,14,
OOM-9,"RUNE, NUTE",92,"Yes, Viceroy?",1,2,
RUNE,OOM-9,93,"Captain, we've searched the ship... and there is no trace of the Jedi. They may have gotten on one of your landing craft.",4,23,
OOM-9,"RUNE, NUTE",94,"If they're down here, sir, we'll fnd them.",2,8,
NUTE,OOM-9,95,Use caution. These Jedi are not to be underestimated.,2,9,
JAR JAR,QUI-GON,96,"Oh, no!",1,2,
QUI-GON,JAR JAR,97,Get away! Get out of here! Get down!,2,8,
JAR JAR,QUI-GON,98,"Was'n dat? Hey, wait! Oh, mooie-mooie, I love you.",4,9,
QUI-GON,JAR JAR,99,You almost got us killed. Are you brainless?,2,8,
JAR JAR,QUI-GON,100,I spake.,1,2,
QUI-GON,JAR JAR,101,"The ability to speak does not make you intelligent. Now, get out of here.",3,14,
JAR JAR,QUI-GON,102,"No, no, mesa stay. Mesa culled Jar Jar Binks. Mesa your humble servant.",3,13,
QUI-GON,JAR JAR,103,That won't be necessary.,1,4,
JAR JAR,QUI-GON,104,"Oh, but it 'tis. Tis demanded by the gods, it 'tis. Oh, no!",3,13,
QUI-GON,JAR JAR,105,Stay down!,1,2,
JAR JAR,QUI-GON,106,You saved my again.,1,4,
OBI-WAN,QUI-GON,107,What's this?,1,2,
QUI-GON,OBI-WAN,108,A local. Let's get out of here before more droids show up.,3,12,
JAR JAR,QUI-GON,109,More? More did you spake?,2,5,
JAR JAR,"QUI-GON, OBI-WAN",110,"Ex-squeeze-me, but de mostest safest place would be Gunga City. Is where I grew up. Tis a hidden city.",4,19,
QUI-GON,JAR JAR,111,A city?,1,2,
JAR JAR,QUI-GON,112,Uh-huh.,1,1,
QUI-GON,JAR JAR,113,Can you take us there?,1,5,
JAR JAR,QUI-GON,114,"On second thought, no. Not really, no.",2,7,
QUI-GON,JAR JAR,115,No?,1,1,
JAR JAR,"QUI-GON, OBI-WAN",116,Tis embarrassing... but my afraid my've been banished. My forgotten. Da bosses would do terrible tings to me. Terrible tings to me if me goen back dare.,7,27,
QUI-GON,JAR JAR,117,You hear that?,1,3,
JAR JAR,QUI-GON,118,Yah.,1,1,
QUI-GON,JAR JAR,119,That is the sound of a thousand terrible things heading this way.,2,12,
OBI-WAN,JAR JAR,120,"If they find us, they will crush us... grind us into tiny pieces and blast us into oblivion.",4,18,
JAR JAR,OBI-WAN,121,Oh. Yousa point is well seen.,2,6,
JAR JAR,"OBI-WAN, QUI-GON",122,Dis way. Hurry!,1,3,
QUI-GON,JAR JAR,123,How much further?,1,3,
JAR JAR,"OBI-WAN, QUI-GON",124,"Wesa goen underwater, okeyday? Ah, my warning you. Gungans no liken outsiders, so don't spect a warm welcome.",4,18,
OBI-WAN,JAR JAR,125,Don't worry. This hasn't been our day for warm welcomes.,2,10,
JAR JAR,"OBI-WAN, QUI-GON",126,"Yousa follow me now, okeyday? So good bein home!",2,9,
CAPT. TARPALS,"JAR JAR, OBI-WAN, QUI-GON",127,"Hey, yousa. Stopa dare.",2,4,
JAR JAR,CAPT. TARPALS,128,"Heyo-dales, Cap'n Tarpals. Mesa back.",2,5,
CAPT. TARPALS,JAR JAR,129,"Noah gain, Jar Jar. Yousa goen tada bosses. Yousa in big dudu dis time.",3,14,
JAR JAR,JAR JAR,130,How wude.,1,2,
BOSS NASS,"OBI-WAN, QUI-GON",131,Yousa cannot bees hair. Dis army of Mackineeks up dare is new weesong.,3,13,
QUI-GON,BOSS NASS,132,A droid army is about to attack the Naboo. We must warn them.,2,13,
BOSS NASS,"OBI-WAN, QUI-GON",133,Wesa no like da Naboo. Da Naboo tink day so smarty. Day tink day brains so big.,3,17,
OBI-WAN,BOSS NASS,134,"Once those droids take control of the surface, they will take control of you.",2,14,
BOSS NASS,"OBI-WAN, QUI-GON",135,Mesa no tink so. Day not know of uss-en.,2,9,
OBI-WAN,BOSS NASS,136,You and the Naboo form a symbiont circle. What happens to one of you will affect the other. You must understand this.,4,22,
BOSS NASS,"OBI-WAN, QUI-GON",137,Wesa no carrrre-nn about da Naboo.,1,6,
QUI-GON,BOSS NASS,138,Then speed us on our way.,1,6,
BOSS NASS,"OBI-WAN, QUI-GON",139,Wesa ganna speed yous away.,1,5,
QUI-GON,BOSS NASS,140,We could use a transport.,1,5,
BOSS NASS,"OBI-WAN, QUI-GON",141,Wesa give yousa una bongo. Da speediest way tooda Naboo... tis goen through the planet core. Now... go.,5,18,
QUI-GON,BOSS NASS,142,Thank you for your help. We leave in peace.,2,9,
OBI-WAN,QUI-GON,143,"Master, what's a bongo?",1,4,
QUI-GON,OBI-WAN,144,"A transport, I hope.",1,4,
JAR JAR,"OBI-WAN, QUI-GON",145,Deysa setten yousa up. Goen through da planet core? Bad bombin'. Any help here would be hot.,4,17,
OBI-WAN,QUI-GON,146,"Master, we're short on time.",1,5,
QUI-GON,OBI-WAN,147,We'll need a navigator to get us through the planet's core. This Gungan may be of help.,3,17,
QUI-GON,BOSS NASS,148,What is to become of Jar Jar Binks here?,2,9,
BOSS NASS,QUI-GON,149,Hisen to be pune-ished.,1,4,
QUI-GON,BOSS NASS,150,"I saved his life. He owes me what you call a ""life-debt."" Your gods demand that his life belongs to me now.",5,22,
BOSS NASS,JAR JAR,151,Binks... yousa havena liveplay with thisen hisen?,3,7,
JAR JAR,BOSS NASS,152,MM HMM,1,2,
BOSS NASS,BOSS NASS,153,Begone wit him!,1,3,
JAR JAR,BOSS NASS,154,Count me outta dis one. Better dead here than dead in da core.,3,13,
JAR JAR,JAR JAR,155,Yee gods! What mesa sayin?,2,5,
JAR JAR,"OBI-WAN, QUI-GON",156,Dis is nutsen.,1,3,
JAR JAR,JAR JAR,157,"Oh, gooberfish!",1,2,
OBI-WAN,JAR JAR,158,"Why were you banished, Jar Jar?",1,6,
JAR JAR,"OBI-WAN, QUI-GON",159,It's a longo tale-o... buta a small part of it would be mesa... clumsy.,3,14,
OBI-WAN,JAR JAR,160,You were banished for being clumsy?,1,6,
JAR JAR,"OBI-WAN, QUI-GON",161,"Yousa might'n be sayin dat. Mesa caused mabee one two-y lettle bitty axadentes, huh? Yud-say boom da gasser... den crashin der boss's heyblibber, den banished.",6,25,
JAR JAR,"JAR JAR, OBI-WAN, QUI-GON",162,Uh oh! Big gooberfish! Huge-o teeth!,2,6,
QUI-GON,"JAR JAR, OBI-WAN",163,There's always a bigger fish.,1,5,
JAR JAR,OBI-WAN,164,Mesa tink we goen back now.,1,6,
NUTE,PALPATINE,165,"The invasion is on schedule, my lord.",2,7,
PALPATINE,NUTE,166,I have the senate bogged down in procedures. They will have no choice but to accept your control of the system.,4,21,
NUTE,PALPATINE,167,The queen has great faith that the senate will side with her.,2,12,
PALPATINE,NUTE,168,Queen Amidala is young and naive. You will find controlling her will not be difficult.,3,15,
NUTE,PALPATINE,169,"Yes, my lord.",1,3,
RUNE,NUTE,170,You didn't tell him about the missing Jedi.,2,8,
NUTE,RUNE,171,No need to report that to him until we have something to report.,2,13,
JAR JAR,"OBI-WAN, QUI-GON",172,Where wesa goin?,1,3,
QUI-GON,JAR JAR,173,Don't worry. The Force will guide us.,1,7,
JAR JAR,QUI-GON,174,"Oh, maxi big, da Force. Well, dat smells stinkowiff.",2,9,
OBI-WAN,QUI-GON,175,We're losing power.,1,3,
JAR JAR,JAR JAR,176,"Oh, no!",1,2,
JAR JAR,"QUI-GON, OBI-WAN",177,Wesa dyin' here.,1,3,
QUI-GON,JAR JAR,178,Just relax. We're not in trouble yet.,1,7,
JAR JAR,QUI-GON,179,"What ""yet""? Monsters out dare. Leak'n in here. All sink'n and no power? Whena yousa tinkin wesa in trouble?",5,19,
OBI-WAN,QUI-GON,180,Power's back.,1,2,
JAR JAR,"QUI-GON, OBI-WAN",181,Monster's back!,1,2,
QUI-GON,JAR JAR,182,Relax.,1,1,
OBI-WAN,QUI-GON,183,You overdid it.,1,3,
JAR JAR,JAR JAR,184,Horrible.,1,1,
QUI-GON,OBI-WAN,185,Head for that outcropping.,1,4,
JAR JAR,JAR JAR,186,"Oh, boy.",1,2,
OOM-9,NUTE,187,"Viceroy, we have captured the queen.",1,6,
NUTE,RUNE,188,"Ah, victory.",1,2,
JAR JAR,"OBI-WAN, QUI-GON",189,Dis'n loverly.,1,2,
BIBBLE,NUTE,190,How will you explain this invasion to the senate?,2,9,
NUTE,BIBBLE,191,The queen and I will sign a treaty that will legitimize our occupation here. I have assurances it will be ratifed by the senate.,4,24,
SABE,NUTE,192,I will not cooperate.,1,4,
NUTE,SABE,193,"Now, now, Your Highness. In time, your people's suffering will persuade you to see our point of view.",3,18,
NUTE,BATTLE DROID COMMANDER,194,Commander.,1,1,
BATTLE DROID COMMANDER,NUTE,195,"Yes, sir.",1,2,
NUTE,NUTE,196,Process them.,1,2,
BATTLE DROID COMMANDER,NUTE,197,"Captain, take them to Camp 4.",1,6,
BATTLE DROID CAPTAIN,NUTE,198,"Roger, roger.",1,2,
JAR JAR,JAR JAR,199,Whoops,1,1,
QUI-GON,SABE,200,"We should leave the street, Your Highness.",2,7,
CAPT. PANAKA,SABE,201,Get their weapons.,1,3,
JAR JAR,SABE,202,Yousa guys bombad!,1,3,
QUI-GON,"BIBBLE, SABE, CAPT. PANAKA",203,We're ambassadors for the supreme chancellor.,2,6,
BIBBLE,QUI-GON,204,"Your negotiations seemed to have failed, Ambassador.",2,7,
QUI-GON,"BIBBLE, CAPT. PANAKA, SABE",205,The negotiations never took place. It's urgent that we make contact with the Republic.,4,14,
CAPT. PANAKA,QUI-GON,206,They've knocked out all our communications.,2,6,
QUI-GON,CAPT. PANAKA,207,Do you have transports?,1,4,
CAPT. PANAKA,QUI-GON,208,In the main hangar. This way. There are too many of them.,2,12,
QUI-GON,SABE,209,"That won't be a problem. Your Highness, under the circumstances, I suggest you come to Coruscant with us.",3,18,
SABE,QUI-GON,210,"Thank you, Ambassador, but my place is with my people.",2,10,
QUI-GON,SABE,211,They will kill you if you stay.,1,7,
BIBBLE,QUI-GON,212,They wouldn't dare.,1,3,
CAPT. PANAKA,QUI-GON,213,They need her to sign a treaty to make this invasion legal. They can't afford to kill her.,3,18,
QUI-GON,SABE,214,"There is something else behind all this, Your Highness. There's no logic in the Federation's move here. My feelings tell me they will destroy you.",6,25,
BIBBLE,SABE,215,Our only hope is for the senate to side with us. Senator Palpatine will need your help.,4,17,
SABE,"BIBBLE, PADME, CAPT. PANAKA, QUI-GON",216,Either choice presents great danger... to us all.,2,8,
PADME,SABE,217,"We are brave, Your Highness.",1,5,
QUI-GON,SABE,218,"If you are to leave, Your Highness, it must be now.",2,11,
SABE,QUI-GON,219,Then I will plead our case to the senate.,2,9,
SABE,BIBBLE,220,"Be careful, Governor.",1,3,
CAPT. PANAKA,"OBI-WAN, QUI-GON",221,We'll need to free those pilots.,1,6,
OBI-WAN,CAPT. PANAKA,222,I'll deal with that.,1,4,
BATTLE DROID,QUI-GON,223,Halt.,1,1,
QUI-GON,BATTLE DROID,224,I'm ambassador to the supreme chancellor. I'm taking these people to Coruscant.,3,12,
BATTLE DROID,QUI-GON,225,Where are you taking them?,1,5,
QUI-GON,BATTLE DROID,226,To Coruscant.,1,2,
BATTLE DROID,QUI-GON,227,"Coruscant? Uh, that doesn't compute. Uh, wait. Uh, you're under arrest.",4,11,
QUI-GON,NA,228,Come on. Move!,1,3,
OBI-WAN,NA,229,Go!,1,1,
OBI-WAN,JAR JAR,230,"Now, stay here and keep out of trouble.",2,8,
JAR JAR,R2D2,231,"Hello, boyos.",1,2,
RIC OLIE,"OBI-WAN, QUI-GON",232,There's the blockade. The shield generator's been hit!,2,8,
JAR JAR,R2D2,233,How wude!,1,2,
OBI-WAN,"RIC OLIE, CAPT. PANAKA, QUI-GON",234,We're losing droids fast.,1,4,
CAPT. PANAKA,"RIC OLIE, QUI-GON, OBI-WAN",235,"If we can't get the shield generator fxed, we'll be sitting ducks.",2,12,
RIC OLIE,"CAPT. PANAKA, OBI-WAN, QUI-GON",236,The shields are gone.,1,4,
RIC OLIE,"CAPT. PANAKA, OBI-WAN, QUI-GON",237,The power's back!,1,3,
RIC OLIE,"CAPT. PANAKA, OBI-WAN, QUI-GON",238,That little droid did it. He bypassed the main power drive. Deflector shields up at maximum.,3,16,
RIC OLIE,"CAPT. PANAKA, OBI-WAN, QUI-GON",239,There's not enough power to get us to Coruscant. The hyperdrive is leaking.,2,13,
QUI-GON,RIC OLIE,240,We'll have to land somewhere to refuel and repair the ship.,2,11,
OBI-WAN,QUI-GON,241,"Here, Master. Tatooine. It's small, out of the way, poor. The Trade Federation have no presence there.",5,17,
CAPT. PANAKA,"QUI-GON, OBI-WAN",242,How can you be sure?,1,5,
QUI-GON,CAPT. PANAKA,243,It's controlled by the Hutts.,1,5,
CAPT. PANAKA,"QUI-GON, OBI-WAN",244,You can't take Her Royal Highness there. The Hutts are gangsters. If they discovered her...,3,15,
QUI-GON,CAPT. PANAKA,245,It'd be no different than if we landed on a system controlled by the Federation... except that the Hutts aren't looking for her... which gives us the advantage.,6,28,
PALPATINE,NUTE,246,"And Queen Amidala, has she signed the treaty?",2,8,
NUTE,PALPATINE,247,"She has disappeared, my lord. One Naboo cruiser got past the blockade.",3,12,
PALPATINE,NUTE,248,I want that treaty signed.,1,5,
NUTE,PALPATINE,249,My lord... it's impossible to locate the ship. It's out of our range.,3,13,
PALPATINE,NUTE,250,Not for a Sith. This is my apprentice... Darth Maul. He will find your lost ship.,4,16,
NUTE,RUNE,251,This is getting out of hand. Now there are two of them.,2,12,
RUNE,NUTE,252,We should not have made this bargain.,2,7,
CAPT. PANAKA,SABE,253,"An extremely well-put-together little droid, Your Highness. Without a doubt, it saved the ship, as well as our lives.",4,19,
SABE,CAPT. PANAKA,254,It is to be commended. What is its number?,2,9,
CAPT. PANAKA,SABE,255,"R2D2, Your Highness.",1,3,
